block,iters,max_eigenvalue
0,0,2.9133706895015682e-06
0,1,0.0012760282036798373
0,2,0.004834914302257136
0,3,0.056551476136074745
0,4,0.07313799264207665
0,5,0.05230478146887288
0,6,0.20092471330964123
0,7,0.7410945452914407
0,8,0.2236559326614417
0,9,0.10760764241455563
0,10,0.04412962280369797
0,11,0.1142839983379251
0,12,0.45933648168434243
0,13,5.0341659115847195
0,14,0.245611453778478
0,15,0.9392077316946208
0,16,0.22201564852612266
0,17,0.03997196357663703
0,18,-0.03488550352333666
0,19,0.6373139462712466
0,20,0.03437023388127976
0,21,0.1270472522423764
0,22,0.18511177600998444
0,23,0.19738377221020156
0,24,0.44146343610841837
0,25,0.4785198006012637
0,26,0.9962509952920345
0,27,0.4673204454340135
0,28,0.14256103849316212
0,29,0.09227932691434686
0,30,0.08838125703321145
0,31,0.009762223122928758
0,32,0.008582187080896328
0,33,0.09374838240062154
0,34,1.6429069125572848
0,35,0.2909459700822523
0,36,0.14970982622617923
0,37,0.03906631313587626
0,38,0.056239170381833535
0,39,0.041423127213746753
0,40,0.07921355939750685
0,41,0.08372417347791695
0,42,0.9689808393720855
0,43,0.11260283925967973
0,44,0.15257474149602043
0,45,0.12029031747517537
0,46,0.20348117611112962
0,47,0.014884855827801743
0,48,0.6248601708910142
0,49,0.37069556002393267
0,50,0.43516992170369323
0,51,0.5197542199697038
0,52,0.48256852782660653
0,53,0.15442573512566604
0,54,0.23133310570715185
0,55,0.12160327863643049
0,56,0.20954367180704833
0,57,0.10284002922164279
0,58,0.200888868271015
0,59,0.36960513030502645
0,60,0.30289363225375454
0,61,0.45712796334927014
0,62,0.2350875779545498
0,63,0.16117981478089186
0,64,0.3217311257326788
0,65,0.3803801444549614
0,66,0.6168194617908358
0,67,0.6031511485430249
0,68,0.4088348595667493
0,69,0.15107330948605813
0,70,0.8290719656954869
0,71,0.14997422520897705
0,72,0.42567413155202516
0,73,0.2421990373290473
0,74,0.11135826695245575
0,75,0.044506993883186685
0,76,0.05003796197032248
0,77,0.6137341564126272
0,78,0.13984485671277938
0,79,0.2359127499265094
0,80,0.26517998975642926
0,81,0.27499983511728343
0,82,0.21115649779516832
0,83,0.5707550405717121
0,84,0.259120148422425
0,85,0.22847306420267458
0,86,0.46251190153426863
0,87,0.15051095280197263
0,88,0.3864370414547412
0,89,0.17736387202620102
0,90,0.3337383214499766
0,91,0.39751233308444367
0,92,0.38731088416365317
0,93,0.35857351296631973
0,94,0.193490024031763
0,0,-8.069796157897795e-06
0,1,0.0007415819643478116
0,2,0.01751669051842081
0,3,0.09472636977994167
0,4,0.17140049109639038
0,5,0.15250764636460304
0,6,0.3235405306414043
0,7,0.3236086964398124
1,0,-8.614026555695e-06
1,1,-0.009600042167594873
1,2,-0.03357567071719499
1,3,0.06213862914646484
1,4,0.5189552347278918
1,5,0.2514338747072939
1,6,0.5802240640486127
1,7,0.754082895777906
1,8,0.08034098846788866
1,9,0.02550406841322241
1,10,0.49691296727904627
1,11,0.8917083936523322
1,12,1.1558286461435887
1,13,0.5795716263511531
1,14,0.6063377211741042
1,15,1.0641442197287323
1,16,0.619337313663972
1,17,0.08479771230976674
1,18,0.6535153683968112
1,19,0.5873873169387854
1,20,0.38266927509220866
1,21,0.304150907578712
1,22,0.6357214183448253
1,23,1.5418277401880078
1,24,0.3476218833740434
1,25,0.7250600579941764
1,26,0.6155310479008989
1,27,0.939892334012926
1,28,0.3422218628786221
1,29,0.1228401332190965
1,30,0.18394616539332478
1,31,0.32473095619612974
1,32,0.9972045134695046
1,33,0.4114711985868566
1,34,0.5735495706396958
1,35,0.7227016016692811
1,36,0.027276460029495873
1,37,0.09211603904548353
1,38,0.6654323381145799
1,39,0.36681430296038564
1,40,0.15441399124711175
1,41,0.4570089854799283
1,42,0.9384541605776645
1,43,0.7804801904336847
1,44,0.6240485607009368
1,45,0.8738373555770158
1,46,0.3182832880503057
1,47,0.21631405682832006
1,48,0.4171557265294949
1,49,0.34448514136915637
1,50,0.31502049731282566
1,51,0.16876980653632775
1,52,0.04528642272324663
1,53,0.3375872354481795
1,54,0.786379476330208
1,55,0.19014302979657668
1,56,0.27691695358638607
1,57,0.23651033824625772
1,58,0.23117732366000457
1,59,0.3723534432479114
1,60,0.7218460495214604
1,61,2.6170416751558663
1,62,0.6169455774401157
1,63,0.7241528461640543
1,64,0.09136440851244783
1,65,0.0722166502382334
1,66,0.769541721123169
1,67,0.451397129059284
1,68,0.1936140875693107
1,69,0.09338298940809131
1,70,0.7082718657465821
1,71,1.2101220800198806
1,72,0.796538500071492
1,73,0.4297033191047876
1,74,0.19854504439499263
1,75,0.29710408972377816
1,76,0.4224681084706147
1,77,1.044407455199867
1,78,0.5379224573571896
1,79,0.40124200154655704
1,80,0.49149061891575635
1,81,0.5325329873927391
1,82,0.6607122134638173
1,83,0.13680248954201032
1,84,0.07617298224811288
1,85,0.21441065628003578
1,86,0.3069328573095549
1,87,0.6852940584034853
1,88,0.48058458189283415
1,89,0.565949173339444
1,90,0.5605542608177908
2,0,-2.7070920241323773e-05
2,1,0.2237138825123135
2,2,0.4060995730722512
2,3,1.107584123875771
2,4,0.13245530274022796
2,5,-0.5729139067250906
2,6,0.35086961785696663
2,7,1.4254316950719852
2,8,1.2084189165044201
2,9,1.3157887035553224
2,10,0.7058342246754994
2,11,1.390963088084544
2,12,1.9686858955983766
2,13,0.4622449485645867
2,14,0.42939871434593263
2,15,0.6830795621777149
2,16,1.1981736148481354
2,17,0.5637905302416886
2,18,0.3628301503379196
2,19,0.22018788613961907
2,20,0.43030650612067484
2,21,1.299276788002454
2,22,0.5705103931643366
0,0,-3.2217998176102134e-06
0,1,0.0024439981563399928
0,2,-0.0018867165104657804
0,3,0.1748031934734367
0,4,2.047457364327363
0,5,0.32649800284203556
0,6,0.7467861664028923
0,7,0.5070455812345596
0,8,0.10828334481350066
0,9,0.2158531792999471
0,10,0.12523935295910657
0,11,0.2529545341119642
0,12,0.36685967247411666
0,13,0.28622555545917966
0,14,0.4682571006063801
0,15,0.6783965093715053
0,16,0.21550128674900276
0,17,0.13486297628835214
0,18,0.19389511534880788
0,19,0.14880614982768256
0,20,0.21283396530285198
0,21,0.2962709546660752
0,22,0.5666033508707634
0,23,0.2848442165966745
0,24,0.20542407981025837
0,25,0.2922997615753092
0,26,0.09075562837681231
0,27,0.06129881914924173
0,28,0.27638518898100367
0,29,0.26272570873586604
0,30,0.08360506735159184
0,31,0.060077310793442466
0,32,0.4891700820467818
0,33,0.2543057604653558
0,34,0.6249586722541588
0,35,0.39010309445315694
0,36,0.5265252964634071
0,37,0.3134122885761031
0,38,0.3306926530559862
0,39,0.7834318408825539
0,40,0.4215340407434757
0,41,0.22927941028004764
0,42,0.18432014045095235
0,43,0.34062768434059015
0,44,0.48169298989495923
0,45,0.4086863491329139
0,46,0.28106944628757785
0,47,0.5819858019706896
0,48,0.46358073946886236
0,49,0.6688094448588797
0,50,0.16322046145404684
0,51,0.3038076695859425
0,52,0.35165716034531547
0,53,2.582477332695006
0,54,0.21384460802538854
0,55,0.8024248487418777
0,56,0.19313514253546962
0,57,0.3806236765842217
0,58,0.23723098635324996
0,59,0.828332045582662
0,60,0.6125128376541075
0,61,0.3469745090392274
0,62,0.08253770716050092
0,63,-0.003706029445410416
0,64,-0.020650386419955393
0,65,0.030107850039190694
0,66,0.19762487303317045
0,67,0.4764225870220999
0,68,0.06741444111818347
0,69,0.2593112624802654
0,70,0.3729079149157216
0,71,0.7770746664030066
0,72,0.4059369209119136
0,73,0.720273908878987
0,74,0.33631193722887853
0,75,0.3113142273855717
0,76,0.5037631392966877
0,77,0.08843746147383277
0,78,0.15941338153794946
0,79,0.8032464072127438
0,80,0.3988528973790529
0,81,0.5212726934292681
0,82,0.9531836832577604
0,83,0.5845549566371303
0,84,0.29065434716065963
0,85,3.2000758831660767
0,86,0.12991732009711035
0,87,0.37972132736668224
0,88,0.2868587211508065
0,89,0.022464684611411836
0,90,0.023374548015253207
0,91,0.12882126937650293
0,92,0.1629155667228819
0,93,0.22629015265312993
0,94,0.4025972875122884
0,95,0.47071990235174427
0,96,0.41364434030011105
0,97,0.4186169639161812
0,98,0.17048288487423344
